S.No.,Name,CMP Rs.,Mar Cap Rs.Cr.,Graham's Number Rs.,Piotski Scr,Face value Rs.,CMP Upside Potential %,52w High Rs.,QoQ Profits %,Qtr Profit Var %,Profit Var 3Yrs %,P/E,Trd Qty,ROCE 3Yr %,Exp Qtr NP Rs.Cr.,CP above GN %,ROE %,ROE 3Yr %,Debt / Eq
73.,S P I C,19.75,402.19,37.61,6.00,10.00,31.39,25.95,174.65,9.47,29.37,7.22,119179,13.26,3.15,0.53,16.74,16.03,0.23
74.,Bayer Crop Sci.,5046.80,22681.37,1349.49,8.00,10.00,30.80,6601.25,-10.77,-1.31,25.28,33.70,51465,25.73,177.32,3.74,23.77,19.13,0.00
75.,Acewin Agriteck,8.88,9.11,86.08,7.00,10.00,30.63,11.60,,260.00,117.27,0.73,19200,39.69,,0.1,57.16,30.44,0.06
76.,Cupid,227.70,303.71,222.6,6.00,10.00,30.32,296.75,19.59,-35.81,24.65,9.03,454165,41.69,23.09,1.02,44.41,32.70,0.11
77.,Lloyds Metals,9.60,241.68,10.15,5.00,1.00,30.21,12.50,117.16,16100.00,78.68,14.65,81033,17.31,-11.98,0.95,25.20,22.38,0.73
78.,Neogen Chemicals,630.75,1471.83,142.67,4.00,10.00,29.93,819.55,20.59,-4.16,55.11,50.75,18197,23.25,12.34,4.42,24.06,24.74,0.76
79.,GAIL (India),102.65,46296.61,219.16,4.00,10.00,29.91,133.35,69.91,-8.52,41.94,5.41,27839267,19.27,1094.19,0.47,19.45,15.76,0.12
80.,Creative Periph.,116.25,134.85,75.05,7.00,10.00,29.89,151.00,369.23,-2.40,88.95,17.96,11713,21.12,4.35,1.55,23.97,20.18,0.67
81.,Seshasayee Paper,141.95,895.25,280.53,6.00,2.00,29.66,184.05,-2.54,-62.30,11.36,6.79,61268,26.54,35.70,0.51,18.98,20.29,0.01
82.,Solar Industries,1043.15,9439.47,288.35,5.00,2.00,29.42,1350.00,54.85,-21.91,13.28,41.07,388718,23.36,67.04,3.62,21.23,22.71,0.51
